Date,Timestamp,Event,NarrativeEvent,InputBlockNo,InputNo,TrialNumber,FeedbackType,BlockResult,WinCount,LossCount,Lane,Column,FishType,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,InputConfidence,InputValidity,InputType,InputNumber
2020-05-08,10:25:53.4144,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,NA,NA,NA,NA,
2020-05-08,10:25:53.4387,[gameevent],HookMoved,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,NA,NA,NA,NA,
2020-05-08,10:25:53.3677,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,DownArrow,0,0,NA,WrongKey,H,K,0,Mistyped,Fast,Accepted,HKJL,ClosedByDeadzone,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,0,
2020-05-08,10:25:54.0923,KeySequenceStopped,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,0.7559065,0.7559065,NA,NA,NA,NA,0,Mistyped,Fast,Accepted,HKJL,ClosedByDeadzone,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,0,
2020-05-08,10:26:00.3405,[gameevent],FishHooked,1,1,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,0,
2020-05-08,10:26:02.3262,InputWindowOpen,NA,1,1,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,0,
2020-05-08,10:26:02.3276,[gameevent],NextTrialStarted,1,1,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,0,
2020-05-08,10:26:02.5547,KeyDown,NA,1,1,1,NA,NA,NA,NA,1,3,NA,H,0,0,0,CorrectKey,H,K,1,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,1,
2020-05-08,10:26:02.7198,KeyDown,NA,1,1,1,NA,NA,NA,NA,1,3,NA,K,0.1666194,0.1666194,1,CorrectKey,H,K,1,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,1,
2020-05-08,10:26:02.9043,KeyDown,NA,1,1,1,NA,NA,NA,NA,1,3,NA,J,0.3500786,0.1834591,2,CorrectKey,J,None,1,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,1,
2020-05-08,10:26:02.9893,KeyDown,NA,1,1,1,NA,NA,NA,NA,1,3,NA,L,0.4333808,0.0833023,3,CorrectKey,L,None,1,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,1,
2020-05-08,10:26:02.9903,KeySequenceStopped,NA,1,1,1,NA,NA,NA,NA,1,3,NA,NA,0.4514035,0.0180227,NA,NA,NA,NA,1,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,1,
2020-05-08,10:26:02.9924,[gameevent],InputAccepted,1,1,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,1,
