Date,Timestamp,Condition,Order,Event,NarrativeEvent,InputBlockNo,InputNo,TrialNumber,FeedbackType,BlockResult,WinCount,LossCount,Lane,Column,FishType,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,InputConfidence,InputValidity,InputType,InputNumber,
2020-05-07,09:56:58.8058,2,2,Running,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,NA,NA,NA,NA,
2020-05-07,09:56:58.8098,2,2,[gameevent],HookMoved,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,NA,NA,NA,NA,
2020-05-07,09:56:58.7988,2,2,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DownArrow,0,0,NA,WrongKey,H,K,0,Mistyped,Fast,Accepted,HKJL,ClosedByDeadzone,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,0,
2020-05-07,09:56:59.5380,2,2,KeySequenceStopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7500488,0.7500488,NA,NA,NA,NA,0,Mistyped,Fast,Accepted,HKJL,ClosedByDeadzone,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,0,
2020-05-07,09:57:01.7526,2,2,[gameevent],HookMoved,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,0,
2020-05-07,09:57:01.7526,2,2,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DownArrow,0,0,NA,WrongKey,H,K,1,Mistyped,Fast,Accepted,HKJL,ClosedByDeadzone,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,1,
2020-05-07,09:57:02.5024,2,2,KeySequenceStopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7570571,0.7570571,NA,NA,NA,NA,1,Mistyped,Fast,Accepted,HKJL,ClosedByDeadzone,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,1,
2020-05-07,09:57:02.5718,2,2,[gameevent],HookMoved,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,1,
2020-05-07,09:57:02.5718,2,2,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DownArrow,0,0,NA,WrongKey,H,K,2,Mistyped,Fast,Accepted,HKJL,ClosedByDeadzone,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,2,
2020-05-07,09:57:03.3217,2,2,KeySequenceStopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7568138,0.7568138,NA,NA,NA,NA,2,Mistyped,Fast,Accepted,HKJL,ClosedByDeadzone,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,2,
2020-05-07,09:57:05.7114,2,2,[gameevent],FishHooked,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,0,Rejected,KeySequence,2,
2020-05-07,09:57:05.7522,2,2,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,0,0,0,CorrectKey,H,K,3,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,3,
2020-05-07,09:57:05.8420,2,2,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K,0.0901715,0.0901715,1,CorrectKey,H,K,3,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,3,
2020-05-07,09:57:05.9886,2,2,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,0.2359623,0.1457908,NA,WrongKey,J,None,3,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,3,
2020-05-07,09:57:06.1063,2,2,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,0.3540621,0.1180998,NA,WrongKey,L,None,3,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,3,
2020-05-07,09:57:06.1063,2,2,KeySequenceStopped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3611106,0.0070485,NA,NA,NA,NA,3,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,3,
2020-05-07,09:57:07.7049,2,2,InputWindowOpen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,3,
2020-05-07,09:57:07.8285,2,2,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,H,0,0,0,CorrectKey,H,K,4,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,4,
2020-05-07,09:57:07.9951,2,2,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J,0.1661554,0.1661554,NA,WrongKey,H,K,4,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,4,
2020-05-07,09:57:08.0440,2,2,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,L,0.2149021,0.0487467,NA,WrongKey,J,None,4,Correct,Fast,Accepted,HKJL,ClosedByInputThreshold,0,1,0.4,1000,2,1,Running,NA,NA,1,0.25,NA,NA,1,Accepted,KeySequence,4,
