Date,Timestamp,Event,NarrativeEvent,InputBlockNo,InputNo,TrialNumber,FeedbackType,BlockResult,WinCount,LossCount,Lane,Column,FishType,KeyCode,SequenceTime_ms,TimeSinceLastKey_ms,KeyOrder,KeyType,ExpectedKey1,ExpectedKey2,SequenceNumber,SequenceComposition,SequenceSpeed,SequenceValidity,SequenceType,SequenceWindowClosure,TargetFabInputRate,TargetRecognitionRate,StartPolicyReview,Trials,InterTrialIntervalSeconds,InputWindowSeconds,GameState,GamePolicy,CurrentRecognitionRate,FabAlarmFixationPoint,FabAlarmVariability,CurrentFabRate,CurrentFabAlarm,InputConfidence,InputValidity,InputType,InputNumber,vv,ww,xx,yy,zz
2020-05-10,11:22:17.6087,[gameevent],HookMoved,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,NA,NA,NA,NA,,,
2020-05-10,11:22:17.5866,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,DownArrow,0,0,NA,WrongKey,H,K,0,Mistyped,Fast,Accepted,HKJL,ClosedByDeadzone,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,0,Rejected,KeySequence,0,,,
2020-05-10,11:22:18.3163,KeySequenceStopped,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,0.7651273,0.7651273,NA,NA,NA,NA,0,Mistyped,Fast,Accepted,HKJL,ClosedByDeadzone,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,0,Rejected,KeySequence,0,,,
2020-05-10,11:22:20.8461,[gameevent],HookMoved,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,0,Rejected,KeySequence,0,,,
2020-05-10,11:22:20.8461,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,DownArrow,0,0,NA,WrongKey,H,K,1,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,0,Rejected,KeySequence,1,,,
2020-05-10,11:22:21.0453,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,DownArrow,0.1992477,0.1992477,NA,WrongKey,H,K,1,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,0,Rejected,KeySequence,1,,,
2020-05-10,11:22:21.2451,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,DownArrow,0.3993018,0.200054,NA,WrongKey,J,None,1,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,0,Rejected,KeySequence,1,,,
2020-05-10,11:22:21.9944,KeySequenceStopped,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,1.165162,0.7658604,NA,NA,NA,NA,1,Mistyped,Slow,Rejected,HKJL,ClosedByDeadzone,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,0,Rejected,KeySequence,1,,,
2020-05-10,11:22:22.0283,[gameevent],HookMoved,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,0,Rejected,KeySequence,1,,,
2020-05-10,11:22:22.0278,KeyDown,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,DownArrow,0,0,NA,WrongKey,H,K,2,Mistyped,Fast,Accepted,HKJL,ClosedByDeadzone,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,0,Rejected,KeySequence,2,,,
2020-05-10,11:22:22.7615,KeySequenceStopped,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,0.750203,0.750203,NA,NA,NA,NA,2,Mistyped,Fast,Accepted,HKJL,ClosedByDeadzone,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,0,Rejected,KeySequence,2,,,
2020-05-10,11:22:24.4932,[gameevent],FishHooked,1,1,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,0,Rejected,KeySequence,2,,,
2020-05-10,11:22:26.4921,InputWindowOpen,NA,1,1,1,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,1000,2,1,Running,NA,NA,1,0,25,NA,NA,0,Rejected,KeySequence,2,,,
